Year,Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
1803,10.1666666667,10.0833333333,10.0,9.16666666667,8.5,7.66666666667,6.83333333333,7.08333333333,6.16666666667,6.0,6.33333333333,6.75
1804,6.5,6.66666666667,6.75,6.83333333333,7.25,8.33333333333,8.83333333333,8.75,9.25,9.75,9.33333333333,9.25
1805,9.5,9.16666666667,9.08333333333,9.0,8.91666666667,8.16666666667,7.25,6.83333333333,6.5,5.58333333333,5.33333333333,5.0
1806,4.5,4.66666666667,4.41666666667,4.41666666667,4.5,4.5,4.91666666667,6.08333333333,6.0,6.41666666667,6.33333333333,6.58333333333
1807,6.75,7.08333333333,7.83333333333,8.16666666667,7.75,7.91666666667,8.25,8.0,8.66666666667,8.66666666667,8.91666666667,9.16666666667
1808,9.33333333333,9.16666666667,8.58333333333,8.41666666667,8.5,8.41666666667,7.91666666667,7.25,6.83333333333,6.75,7.58333333333,7.58333333333
1809,7.75,7.66666666667,7.66666666667,7.33333333333,6.83333333333,6.5,6.41666666667,6.41666666667,6.16666666667,6.91666666667,6.33333333333,6.16666666667
1810,5.66666666667,5.5,5.5,6.0,6.58333333333,7.0,7.33333333333,7.75,8.16666666667,7.66666666667,7.75,7.91666666667
1811,8.83333333333,9.08333333333,9.33333333333,9.41666666667,10.0,9.83333333333,9.83333333333,9.83333333333,9.66666666667,9.75,9.5,9.16666666667
1812,8.5,8.33333333333,8.5,8.33333333333,7.66666666667,8.16666666667,7.91666666667,7.66666666667,7.83333333333,8.16666666667,8.25,8.25
1813,8.5,8.41666666667,8.08333333333,8.0,8.25,8.5,9.0,9.16666666667,8.91666666667,8.33333333333,8.33333333333,9.0
1814,9.0,9.25,9.0,9.25,8.75,8.41666666667,8.41666666667,8.25,8.0,7.75,7.33333333333,6.83333333333
1815,6.41666666667,6.33333333333,6.83333333333,6.75,7.5,7.66666666667,7.5,7.5,7.75,7.91666666667,8.41666666667,8.25
1816,8.41666666667,8.75,8.91666666667,8.83333333333,8.41666666667,8.41666666667,8.08333333333,7.75,8.5,8.58333333333,8.5,8.66666666667
1817,8.66666666667,8.33333333333,7.58333333333,7.41666666667,7.16666666667,6.66666666667,6.75,6.58333333333,5.5,5.16666666667,4.66666666667,4.41666666667
1818,4.41666666667,4.41666666667,4.66666666667,4.83333333333,5.08333333333,5.25,5.58333333333,6.33333333333,6.58333333333,7.83333333333,8.5,9.0
1819,9.33333333333,9.5,10.0833333333,10.5833333333,10.75,10.75,11.0833333333,11.25,10.9166666667,10.25,9.75,9.33333333333
1820,8.75,8.75,7.91666666667,7.41666666667,7.08333333333,6.5,6.41666666667,6.16666666667,7.41666666667,7.58333333333,8.08333333333,9.0
1821,9.66666666667,9.66666666667,10.3333333333,10.25,10.25,10.75,10.6666666667,10.3333333333,9.83333333333,9.5,9.0,8.58333333333
1822,8.08333333333,7.83333333333,7.5,7.58333333333,7.33333333333,7.41666666667,7.16666666667,7.33333333333,7.5,7.83333333333,7.91666666667,8.08333333333
1823,8.25,8.41666666667,8.33333333333,8.75,8.83333333333,8.58333333333,8.58333333333,8.25,7.91666666667,7.33333333333,7.5,6.91666666667
1824,7.33333333333,7.91666666667,8.5,8.16666666667,8.5,9.83333333333,10.1666666667,11.3333333333,12.0,12.5833333333,12.75,13.0
